timestamp, amount, name
1745100251,428380,tac-period1-9s-fs-eth
1745103851,431485,tac-period1-9s-fs-eth
1745107451,434589,tac-period1-9s-fs-eth
1745111051,437693,tac-period1-9s-fs-eth
1745114651,440797,tac-period1-9s-fs-eth
1745118251,443901,tac-period1-9s-fs-eth
1745121851,447006,tac-period1-9s-fs-eth
1745125451,450110,tac-period1-9s-fs-eth
1745129051,453214,tac-period1-9s-fs-eth
1745132651,456318,tac-period1-9s-fs-eth
1745136251,459422,tac-period1-9s-fs-eth
1745139851,462527,tac-period1-9s-fs-eth
1745143451,465631,tac-period1-9s-fs-eth
1745147051,468735,tac-period1-9s-fs-eth
1745150651,471839,tac-period1-9s-fs-eth
1745154251,474943,tac-period1-9s-fs-eth
1745157851,478048,tac-period1-9s-fs-eth
1745161451,481152,tac-period1-9s-fs-eth
1745165051,484256,tac-period1-9s-fs-eth
1745168651,487360,tac-period1-9s-fs-eth
1745172251,490464,tac-period1-9s-fs-eth
1745175851,493569,tac-period1-9s-fs-eth
1745179451,496673,tac-period1-9s-fs-eth
1745183051,499777,tac-period1-9s-fs-eth
1745186651,502881,tac-period1-9s-fs-eth
1745190251,505986,tac-period1-9s-fs-eth
1745193851,509090,tac-period1-9s-fs-eth
1745197451,512194,tac-period1-9s-fs-eth
1745201051,515298,tac-period1-9s-fs-eth
1745204651,518402,tac-period1-9s-fs-eth
1745208251,521507,tac-period1-9s-fs-eth
1745211851,524611,tac-period1-9s-fs-eth
1745215451,527715,tac-period1-9s-fs-eth
1745219051,530819,tac-period1-9s-fs-eth
1745222651,533923,tac-period1-9s-fs-eth
1745226251,537028,tac-period1-9s-fs-eth
1745229851,540132,tac-period1-9s-fs-eth
1745233451,543236,tac-period1-9s-fs-eth
1745237051,546340,tac-period1-9s-fs-eth
1745240651,549444,tac-period1-9s-fs-eth
1745244251,552549,tac-period1-9s-fs-eth
1745247851,555653,tac-period1-9s-fs-eth
1745251451,558757,tac-period1-9s-fs-eth
1745255051,561861,tac-period1-9s-fs-eth
1745258651,564965,tac-period1-9s-fs-eth
1745262251,568070,tac-period1-9s-fs-eth
1745265851,571174,tac-period1-9s-fs-eth
1745269451,574278,tac-period1-9s-fs-eth
1745273051,577382,tac-period1-9s-fs-eth
1745276651,580486,tac-period1-9s-fs-eth
1745280251,583591,tac-period1-9s-fs-eth
1745283851,586695,tac-period1-9s-fs-eth
1745287451,589799,tac-period1-9s-fs-eth
1745291051,592903,tac-period1-9s-fs-eth
1745294651,596007,tac-period1-9s-fs-eth
1745298251,599112,tac-period1-9s-fs-eth
1745301851,602216,tac-period1-9s-fs-eth
1745305451,605320,tac-period1-9s-fs-eth
1745309051,608424,tac-period1-9s-fs-eth
1745312651,611528,tac-period1-9s-fs-eth
1745316251,614633,tac-period1-9s-fs-eth
1745319851,617737,tac-period1-9s-fs-eth
1745323451,620841,tac-period1-9s-fs-eth
1745327051,623945,tac-period1-9s-fs-eth
1745330651,627050,tac-period1-9s-fs-eth
1745334251,630154,tac-period1-9s-fs-eth
1745337851,633258,tac-period1-9s-fs-eth
1745341451,636362,tac-period1-9s-fs-eth
1745345051,639466,tac-period1-9s-fs-eth
1745348651,642571,tac-period1-9s-fs-eth
1745352251,645675,tac-period1-9s-fs-eth
1745355851,648779,tac-period1-9s-fs-eth
1745359451,651883,tac-period1-9s-fs-eth
1745363051,654987,tac-period1-9s-fs-eth
1745366651,658092,tac-period1-9s-fs-eth
1745370251,661196,tac-period1-9s-fs-eth
1745373851,664300,tac-period1-9s-fs-eth
1745377451,667404,tac-period1-9s-fs-eth
1745381051,670508,tac-period1-9s-fs-eth
1745384651,673613,tac-period1-9s-fs-eth
1745388251,676717,tac-period1-9s-fs-eth
1745391851,679821,tac-period1-9s-fs-eth
1745395451,682925,tac-period1-9s-fs-eth
1745399051,686029,tac-period1-9s-fs-eth
1745402651,689134,tac-period1-9s-fs-eth
1745406251,692238,tac-period1-9s-fs-eth
1745409851,695342,tac-period1-9s-fs-eth
1745413451,698446,tac-period1-9s-fs-eth
1745417051,701550,tac-period1-9s-fs-eth
1745420651,704655,tac-period1-9s-fs-eth
1745424251,707759,tac-period1-9s-fs-eth
1745427851,710863,tac-period1-9s-fs-eth
1745431451,713967,tac-period1-9s-fs-eth
1745435051,717071,tac-period1-9s-fs-eth
1745438651,720176,tac-period1-9s-fs-eth
1745442251,723280,tac-period1-9s-fs-eth
1745445851,726384,tac-period1-9s-fs-eth
1745449451,729488,tac-period1-9s-fs-eth
1745453051,732593,tac-period1-9s-fs-eth
1745456651,735697,tac-period1-9s-fs-eth
1745460251,738801,tac-period1-9s-fs-eth
1745463851,741905,tac-period1-9s-fs-eth
1745467451,745009,tac-period1-9s-fs-eth
1745471051,748114,tac-period1-9s-fs-eth
1745474651,751218,tac-period1-9s-fs-eth
1745478251,754322,tac-period1-9s-fs-eth
1745481851,757426,tac-period1-9s-fs-eth
1745485451,760530,tac-period1-9s-fs-eth
1745489051,763635,tac-period1-9s-fs-eth
1745492651,766739,tac-period1-9s-fs-eth
1745496251,769843,tac-period1-9s-fs-eth
1745499851,772947,tac-period1-9s-fs-eth
1745503451,776051,tac-period1-9s-fs-eth
1745507051,779156,tac-period1-9s-fs-eth
1745510651,782260,tac-period1-9s-fs-eth
1745514251,785364,tac-period1-9s-fs-eth
1745517851,788468,tac-period1-9s-fs-eth
1745521451,791572,tac-period1-9s-fs-eth
1745525051,794677,tac-period1-9s-fs-eth
1745528651,797781,tac-period1-9s-fs-eth
1745532251,800885,tac-period1-9s-fs-eth
1745535851,803989,tac-period1-9s-fs-eth
1745539451,807093,tac-period1-9s-fs-eth
1745543051,810198,tac-period1-9s-fs-eth
1745546651,813302,tac-period1-9s-fs-eth
1745550251,816406,tac-period1-9s-fs-eth
1745553851,819510,tac-period1-9s-fs-eth
1745557451,822614,tac-period1-9s-fs-eth
1745561051,825719,tac-period1-9s-fs-eth
1745564651,828823,tac-period1-9s-fs-eth
1745568251,831927,tac-period1-9s-fs-eth
1745571851,835031,tac-period1-9s-fs-eth
1745575451,838135,tac-period1-9s-fs-eth
1745579051,841240,tac-period1-9s-fs-eth
1745582651,844344,tac-period1-9s-fs-eth
1745586251,847448,tac-period1-9s-fs-eth
1745589851,850552,tac-period1-9s-fs-eth
1745593451,853657,tac-period1-9s-fs-eth
1745597051,856761,tac-period1-9s-fs-eth
1745600651,859865,tac-period1-9s-fs-eth
1745604251,862969,tac-period1-9s-fs-eth
1745607851,866073,tac-period1-9s-fs-eth
1745611451,869178,tac-period1-9s-fs-eth
1745615051,872282,tac-period1-9s-fs-eth
1745618651,875386,tac-period1-9s-fs-eth
1745622251,878490,tac-period1-9s-fs-eth
1745625851,881594,tac-period1-9s-fs-eth
1745629451,884699,tac-period1-9s-fs-eth
1745633051,887803,tac-period1-9s-fs-eth
1745636651,890907,tac-period1-9s-fs-eth
1745640251,894011,tac-period1-9s-fs-eth
