chainId,vault,wallet,expected,actual,diff
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0x1dd50763ebf30966922c428177b090a90a634de9,0.827464375,21.22531874,20.39785437
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0xc07881a85919b5e4263bcd6193710fef9d028572,33.78154321,36.16295367,2.381410456
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0xdb02db34221f6116a993b4a70cefe28b9aff379b,0.06399271973,0.7587678538,0.6947751341
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0x0000000000000000000000000000000000000000,0,0,0
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0x3215a1B387bE6B1e319E03647c0383AACfda40Da,0,0,0
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0x39d7b5bc5af6a8deaf6f541e34ec7a81658c4568,0.004979114628,0.004226262897,-0.0007528517306
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0x92c43859db0f3e03eea0f05529775f4612f5de33,0.006247102243,0.005302767866,-0.0009443343766
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0xceca342797947068cafab31f36b5f9f934b71a5e,0.03058129273,0.02595696265,-0.004624330077
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0xac3b45e3f0176cac82bd8beddf45959a2678897c,0.03074075921,0.0260938931,-0.004646866103
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0x641a513eb484539c56cf9733de8b9065199912f1,0.04349952873,0.03692248956,-0.006577039173
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0x5e6989d17bfea1845a5a12f5d0b4baf51b278d7c,0.05553418243,0.04713701983,-0.008397162596
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0xb957dccaa1ccfb1eb78b495b499801d591d8a403,0.05927265624,0.05031350801,-0.008959148233
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0x798af178ec9a43f2ec8733ed9289b4f036b6ae4e,0.09436560123,0.08009737012,-0.01426823111
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0x84a7d732cab139951ff29c1255154a15eff1b09b,0.1336627723,0.1134532363,-0.02020953594
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0x58863d3eb9be806fef5967aa539770ff6f2b1780,0.1592439396,0.1351667396,-0.02407719999
