timestamp, amount
1758876527,0
1758880127,0.235
1758883727,0.471
1758887327,0.706
1758890927,0.942
1758894527,1.177
1758898127,1.412
1758901727,1.648
1758905327,1.883
1758908927,2.118
1758912527,2.354
1758916127,2.589
1758919727,2.825
1758923327,3.06
1758926927,3.295
1758930527,3.531
1758934127,3.766
1758937727,4.002
1758941327,4.237
1758944927,4.472
1758948527,4.708
1758952127,4.943
1758955727,5.178
1758959327,5.414
1758962927,5.649
1758966527,5.885
1758970127,6.12
1758973727,6.355
1758977327,6.591
1758980927,6.826
1758984527,7.062
1758988127,7.297
1758991727,7.532
1758995327,7.768
1758998927,8.003
1759002527,8.238
1759006127,8.474
1759009727,8.709
1759013327,8.945
1759016927,9.18
1759020527,9.415
1759024127,9.651
1759027727,9.886
1759031327,10.122
1759034927,10.357
1759038527,10.592
1759042127,10.828
1759045727,11.063
1759049327,11.298
1759052927,11.534
1759056527,11.769
1759060127,12.005
1759063727,12.24
1759067327,12.475
1759070927,12.711
1759074527,12.946
1759078127,13.182
1759081727,13.417
1759085327,13.652
1759088927,13.888
1759092527,14.123
1759096127,14.359
1759099727,14.594
1759103327,14.829
1759106927,15.065
1759110527,15.3
1759114127,15.535
1759117727,15.771
1759121327,16.006
1759124927,16.242
1759128527,16.477
1759132127,16.712
1759135727,16.948
1759139327,17.183
1759142927,17.419
1759146527,17.654
1759150127,17.889
1759153727,18.125
1759157327,18.36
1759160927,18.595
1759164527,18.831
1759168127,19.066
1759171727,19.302
1759175327,19.537
1759178927,19.772
1759182527,20.008
1759186127,20.243
1759189727,20.479
1759193327,20.714
1759196927,20.949
1759200527,21.185
1759204127,21.42
1759207727,21.655
1759211327,21.891
1759214927,22.126
1759218527,22.362
1759222127,22.597
1759225727,22.832
1759229327,23.068
1759232927,23.303
1759236527,23.539
1759240127,23.774
1759243727,24.009
1759247327,24.245
1759250927,24.48
1759254527,24.715
1759258127,24.951
1759261727,25.186
1759265327,25.422
1759268927,25.657
1759272527,25.892
1759276127,26.128
1759279727,26.363
1759283327,26.599
1759286927,26.834
1759290527,27.069
1759294127,27.305
1759297727,27.54
1759301327,27.775
1759304927,28.011
1759308527,28.246
1759312127,28.482
1759315727,28.717
1759319327,28.952
1759322927,29.188
1759326527,29.423
1759330127,29.659
1759333727,29.894
1759337327,30.129
1759340927,30.365
1759344527,30.6
1759348127,30.835
1759351727,31.071
1759355327,31.306
1759358927,31.542
1759362527,31.777
1759366127,32.012
1759369727,32.248
1759373327,32.483
1759376927,32.719
1759380527,32.954
1759384127,33.189
1759387727,33.425
1759391327,33.66
1759394927,33.895
1759398527,34.131
1759402127,34.366
1759405727,34.602
1759409327,34.837
1759412927,35.072
1759416527,35.308
1759420127,35.543
1759423727,35.779
1759427327,36.014
1759430927,36.249
1759434527,36.485
1759438127,36.72
1759441727,36.956
1759445327,37.191
1759448927,37.426
1759452527,37.662
1759456127,37.897
1759459727,38.132
1759463327,38.368
1759466927,38.603
1759470527,38.839
1759474127,39.074
1759477727,39.309
1759481327,39.545
1759484927,39.78
1759488527,40.016
1759492127,40.251
1759495727,40.486
1759499327,40.722
1759502927,40.957
1759506527,41.192
1759510127,41.428
1759513727,41.663
1759517327,41.899
1759520927,42.134
1759524527,42.369
1759528127,42.605
1759531727,42.84
1759535327,43.076
1759538927,43.311
1759542527,43.546
1759546127,43.782
1759549727,44.017
1759553327,44.252
1759556927,44.488
1759560527,44.723
1759564127,44.959
1759567727,45.194
1759571327,45.429
1759574927,45.665
1759578527,45.9
1759582127,46.136
1759585727,46.371
1759589327,46.606
1759592927,46.842
1759596527,47.077
1759600127,47.312
1759603727,47.548
1759607327,47.783
1759610927,48.019
1759614527,48.254
1759618127,48.489
1759621727,48.725
1759625327,48.96
1759628927,49.196
1759632527,49.431
1759636127,49.666
1759639727,49.902
1759643327,50.137
1759646927,50.372
1759650527,50.608
1759654127,50.843
1759657727,51.079
1759661327,51.314
1759664927,51.549
1759668527,51.785
1759672127,52.02
1759675727,52.256
1759679327,52.491
1759682927,52.726
1759686527,52.962
1759690127,53.197
1759693727,53.432
1759697327,53.668
1759700927,53.903
1759704527,54.139
1759708127,54.374
1759711727,54.609
1759715327,54.845
1759718927,55.08
1759722527,55.316
1759726127,55.551
1759729727,55.786
1759733327,56.022
1759736927,56.257
1759740527,56.492
1759744127,56.728
1759747727,56.963
1759751327,57.199
1759754927,57.434
1759758527,57.669
1759762127,57.905
1759765727,58.14
1759769327,58.376
1759772927,58.611
1759776527,58.846
1759780127,59.082
1759783727,59.317
1759787327,59.552
1759790927,59.788
1759794527,60.023
1759798127,60.259
1759801727,60.494
1759805327,60.729
