chainId,vault,wallet,resolv-s1-9s-fs-usdc
1,0x03D1eC0D01b659b89a87eAbb56e4AF5Cb6e14BFc,0x27287A4595eD7d296a0A352F3450Ab7127B1A7E0,0
1,0x03D1eC0D01b659b89a87eAbb56e4AF5Cb6e14BFc,0x44ab8cce15ce2dff489b34cdc483991bd7ddcb7e,707554373.0304415
1,0x03D1eC0D01b659b89a87eAbb56e4AF5Cb6e14BFc,0x878e3cd2afb75ba6dcf384923bdcb211350cb641,1018351014.1221838
1,0x03D1eC0D01b659b89a87eAbb56e4AF5Cb6e14BFc,0xdafca7a5e3b67b8f36c1fdd7691ed85bbb54cc18,3184449838.8474092
1,0x03D1eC0D01b659b89a87eAbb56e4AF5Cb6e14BFc,0x27287a4595ed7d296a0a352f3450ab7127b1a7e0,42161209.120786145
1,0x03D1eC0D01b659b89a87eAbb56e4AF5Cb6e14BFc,0x0000000000000000000000000000000000000000,0
1,0x03D1eC0D01b659b89a87eAbb56e4AF5Cb6e14BFc,0x15ae010dffec19729a410b82d51337b385a96b95,74542316.49646823
1,0x03D1eC0D01b659b89a87eAbb56e4AF5Cb6e14BFc,0xe3ba5b00cc8374492da75d3b05b9aa23693e30b3,48651144.874977924
1,0x03D1eC0D01b659b89a87eAbb56e4AF5Cb6e14BFc,0xeb6927e3599d1ee873b348efc99e81b36179cdaf,199804830.77310103
1,0x03D1eC0D01b659b89a87eAbb56e4AF5Cb6e14BFc,0xc50193888fd7bd24de6e5a9eb1fb05b519a8d3f5,1520290772.9498925
1,0x03D1eC0D01b659b89a87eAbb56e4AF5Cb6e14BFc,0x31cf759abafa0128cf09ab8d77ad488bcc98c439,2303337.204949388
1,0x03D1eC0D01b659b89a87eAbb56e4AF5Cb6e14BFc,0xaf6f2ccee2178cf9d34c3584d4da5a35b6ead463,34313448.715403415
1,0x03D1eC0D01b659b89a87eAbb56e4AF5Cb6e14BFc,0xd408c5ddcbf297dcaa745009277007429719e205,234351071.14828524
1,0x03D1eC0D01b659b89a87eAbb56e4AF5Cb6e14BFc,0x5e96b90d13f3ba9ddc46e33341cfad8bda6cd111,736581467.9727694
1,0x03D1eC0D01b659b89a87eAbb56e4AF5Cb6e14BFc,0xcebb4a8ee4a76dc3a03ce1c6465f90ee9e8946f1,1703625373.7136376
1,0x03D1eC0D01b659b89a87eAbb56e4AF5Cb6e14BFc,0xbdc6b28dd4855a2d2e035852febc18419f752d1e,574693960.5019333
1,0x03D1eC0D01b659b89a87eAbb56e4AF5Cb6e14BFc,0x04981ff1f1a901b0f5221af38e7ee4aca8353a27,30818339.399213985
1,0x03D1eC0D01b659b89a87eAbb56e4AF5Cb6e14BFc,0x9324cb8c93d83a94978353e7c9c42f6d72d9ed96,657675936.2689584
1,0x03D1eC0D01b659b89a87eAbb56e4AF5Cb6e14BFc,0xc0b53221a7dbcbce68441c26ea4da73266d6bc20,526101988.6241909
1,0x03D1eC0D01b659b89a87eAbb56e4AF5Cb6e14BFc,0x8ed876fded3699c590be3e12cef56e23376eff3b,26850087.854637958
1,0x03D1eC0D01b659b89a87eAbb56e4AF5Cb6e14BFc,0xf0a921d33bec82317e2bf8aecfcdeb2463c704d9,70203122.4275102
1,0x03D1eC0D01b659b89a87eAbb56e4AF5Cb6e14BFc,0x9939187b12bd8688655023fd1cd6dd6dc76d0afa,1472775890.0628357
1,0x03D1eC0D01b659b89a87eAbb56e4AF5Cb6e14BFc,0x7aa0afdac9c34f780e349679fe9149ed5772199a,34469003.2481002
1,0x03D1eC0D01b659b89a87eAbb56e4AF5Cb6e14BFc,0x908cf58aaa034f485d183537d3c7df6ae98815d9,1337261.6905565115
1,0x03D1eC0D01b659b89a87eAbb56e4AF5Cb6e14BFc,0xd935cb5d0d794e3abc741f3a6e03b3f61f7f0ac9,68154541.59729381
1,0x03D1eC0D01b659b89a87eAbb56e4AF5Cb6e14BFc,0xdc7aa225964267c7e0efb35f4931426209e90312,362510212.0092656
1,0x03D1eC0D01b659b89a87eAbb56e4AF5Cb6e14BFc,0x1c4bf914375526cc7500366693bc5eca67b67b04,73468.65822496009
1,0x03D1eC0D01b659b89a87eAbb56e4AF5Cb6e14BFc,0x352a0500b2b2cc68a7fe73784e1428a806f8773f,131371044.95867535
1,0x03D1eC0D01b659b89a87eAbb56e4AF5Cb6e14BFc,0x6a84e443ee32552b5087ce480a13cdf62947719b,579377002.6144396
1,0x03D1eC0D01b659b89a87eAbb56e4AF5Cb6e14BFc,0xfebfb5f230aa439c9e0e4ed308b9557c6391b5bc,10956259.166688383
1,0x03D1eC0D01b659b89a87eAbb56e4AF5Cb6e14BFc,0xbf39ff3eb1f7b18bcb2a469cb1d97bf9e53be2fd,5275108.753633088
