chainId,vault,wallet,expected,actual,diff
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0x420fc8c5b37b27d2ce843a4a5d7eb91753545173,100.076339,90.935411,-9.140928
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0xce44e61bbd687bfffe1bf29704a73eb0c203664b,101.075804,91.843586,-9.232218
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0x3f4bef3311893aaa5847a16a7d8cebb74279983c,322.239019,312.709750,-9.529269
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0x74f7d8e0b8f3151b1bd0726bd4cc7c7b06e06c92,189.305688,179.373176,-9.932512
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0x719a143654a0c4621f49fa77077800ef3f5c3b40,225.324751,214.135255,-11.189495
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0x570d17966ff2c66d55b62097e5f75b5501bbbc4f,200.566092,188.985854,-11.580238
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0x186b12ceaf08fde22e32647fcc800e45876f5bd0,305.972919,294.389429,-11.583490
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0x7f812a524e72461b4aa20f3146a0b3c50271efbf,133.255383,119.880939,-13.374444
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0x48cf1cba8cd942818aab23f1af48470020138891,132.218020,118.607282,-13.610738
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0xff2a58bd8f275ad976655a0225645dfb25fca640,176.488012,162.374171,-14.113841
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0xf05454c3d16090b652cf5389c9ee520cec477e5e,182.247895,163.956220,-18.291676
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0x04b8944a978b8c1bd44a7000fcf4b89bf1d191bf,217.876158,197.975448,-19.900710
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0x6143821f107559c2be6084bc425896089a895a1c,198.489192,178.567426,-19.921766
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0x64b7fcc8c17540139bdd84d00c7261035602cb66,220.441051,200.306065,-20.134986
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0xd4926b13294f30c248eb48006c00be75cc3bcbd6,177.476188,156.221163,-21.255025
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0x4e012ea6a13b6496d367a9a7e54e0f5e9d23ec95,265.629150,241.287406,-24.341744
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0x84dab457fc08a59cbe56438d5def64f6c47c1d58,224.905025,200.185462,-24.719563
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0xa712b4b40f21867ccefcb4000db3bb31c68d9d26,261.063292,235.391003,-25.672289
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0x3aa6605d87f611e43ad0a64740d6bef9b80fcd2c,279.996337,252.137528,-27.858809
