chainId,vault,wallet,points
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0xc07881a85919b5e4263bcd6193710fef9d028572,7120.327772
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0x127a15928df8ef50692660ee52997faf4fdff0d0,5293.23531
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0x2d54b97bfd722ce2d665945ac06d29698939c450,2396.467084
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0x1dd50763ebf30966922c428177b090a90a634de9,2029.645875
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0xb1e64c41038f91057689ba1df1b26aad3ac428dc,1958.915025
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0x2f7248a0bd486426b454e3dcb94303b58e84f09e,1749.152147
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0xa99f34e1f1999842bea25542b7a156bd8fe21dd1,1665.146465
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0xe87a10d5b212d169ccbc9a50cf5e23dd3da27cb6,1321.325928
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0xea2dec40b72604a4f9c6d9fa608b8643accdc25a,1230.078693
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0x7b8cfa6c487faf86c28fcfc39468b870ce08089c,1186.248947
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0x85db62fdfa9ee6050f8b422f74d75d2069da102b,1012.464124
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0x46b0b0e9fc24405ed8833cc53324c7fca0100c9c,992.2830819
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0xad3a45b38801a55a9b53d5ec99a829243c5b62da,689.8039495
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0x095cbf84f149f12ce5625ea023ad0133cd84a503,678.4556315
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0x037e6e052153c739a60321669cc204aa391a7bc5,489.5734459
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0xd360ecb91406717ad13c4fae757b69b417e2af6b,474.859642
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0x4a9ae3ba9453770dd11f790ba4ac7e630a59f2b9,337.5844039
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0x3f4bef3311893aaa5847a16a7d8cebb74279983c,312.7097496
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0x186b12ceaf08fde22e32647fcc800e45876f5bd0,294.3894291
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0x5b0493915b7dbbc02dab42d0fdf9cbd4f73857f8,292.7306724
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0x8ec30f0251ee743acdcd1f9bc2dc605b731ba821,291.9865021
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0x7df73e27e6df1d34cbdcbc0f31002f83312d4f54,286.725518
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0x564cc021b1eeeac8ee1534a7c5b3a51cc9439c76,279.8553832
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0x0cfab7c33daef6f95a8dfc36c7480db676f51daa,267.0199272
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0x3aa6605d87f611e43ad0a64740d6bef9b80fcd2c,252.137528
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0x4e012ea6a13b6496d367a9a7e54e0f5e9d23ec95,241.2874062
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0xa712b4b40f21867ccefcb4000db3bb31c68d9d26,235.3910026
1,0x0d1ea8c0ed10a19b2c714cd7ea923ae4a636ee90,0x719a143654a0c4621f49fa77077800ef3f5c3b40,214.1352554
